DOI,,,,,Metal_1,Metal_2,Metal_3,Sample Name,Metal_1_Amount,Metal_2_Amount,Metal_3_Amount,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Acid wash or not,Annealing Temp degree,Annealing Rising Rtae degree min-1,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Proton Concentration M,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Scanning Speed mV s-1,O2 saturated/1 for yes,Overpotential mV @10 mA cm-2 (raw),Overpotential mV @10 mA cm-2,,
10.1002/smtd.202101236,,,,,Ru,Ir,None,RuIr CNT,0.15,0.075,0,66.66666667,33.33333333,0,80,10,1,0,1,0,0,240,,60,0,1,0,0.1,0.127,0.127,0,0,2,0,219,219 ,,
10.1002/smtd.202101236,,,,,Ru,Ir,Mn,Mn-RuIr CNT,0.15,0.075,0.01,63.82978723,31.91489362,4.255319149,80,10,1,0,1,0,0,240,,60,0,1,0,0.1,0.127,0.127,0,0,2,0,198,198 ,,
10.1002/smtd.202101236,,,,,Ru,Ir,Mn,H-Mn-RuIr CNT,0.15,0.075,0.05,54.54545455,27.27272727,18.18181818,80,10,1,0,1,0,0,240,,60,0,1,0,0.1,0.127,0.127,0,0,2,0,229,229 ,,
10.1002/smtd.202101236,,,,,Ru,Ir,None,RuIr NPs,0.12,0.03,0,80,20,0,25,360,1,1,0,0,0,25,0,0,0,0,0,0.1,0.127,0.127,0,0,2,0,232,232 ,,
10.1038/s41467-021-26336-2,,,,,Ir,None,None,1T-IrO2,1,0,0,100,0,0,25,0,0,0,0,1,0,800,10,180,1,0,0,0.1,0.212,0,0,0,5,1,197,197 ,,
10.1038/s41467-021-26336-2,,,,,Ir,None,None,Rutile IrO2,1,0,0,100,0,0,25,0,0,0,0,1,0,900,10,120,1,0,0,0.1,0.212,0,0,0,5,1,297,297 ,,
10.1016/j.cej.2021.132825,,,,,Co,None,None,Co@NCNT/PC,1,0,0,100,0,0,80,360,1,0,0,0,0,800,5,120,0,1,0,1,0.1225,0.3775,0,0,5,0,530,530 ,,
10.1016/j.cej.2021.132825,,,,,Co,Ir,None,IrCo@NCNT/PC,4.94,1.06,0,82.33333333,17.66666667,0,25,30,1,0,0,0,0,300,5,60,0,1,0,1,0.1375,0.3625,0,0,5,0,300,300 ,,
10.1016/j.cej.2021.132825,,,,,Ir,None,None,Ir/NC,1,0,0,100,0,0,25,30,1,0,0,0,0,300,5,60,0,0,1,1,0.1,0.4,0,0,5,0,320,320 ,,
10.1016/j.joule.2021.10.002,,,,,Ir,None,None,3R-IrO2,1,0,0,100,0,0,25,0,0,0,0,1,0,500,,30,1,0,0,0.1,0.255,0,0,0,5,1,188,188 ,,
10.1002/cssc.202102114,,,,,Ru,None,None,T-Ru/CP,10,0,0,100,0,0,25,1,1,0,0,0,0,700,1400,0.1,0,0,0,1,1.3307,0,0,1,10,,189,189 ,,
10.1002/cssc.202102114,,,,,Ru,Mo,None,T-RuMo/CP,8,2,0,80,20,0,25,1,1,0,0,0,0,930,1860,0.2,0,0,0,1,1.6907,0,0,1,10,,187,187 ,,
10.1002/cssc.202102114,,,,,Ru,Mo,None,T-RuMo/CP,6,4,0,60,40,0,25,1,1,0,0,0,0,930,1860,0.2,0,0,0,1,2.2907,0,0,1,10,,199,199 ,,
10.1002/cssc.202102114,,,,,Mo,Ru,None,T-RuMo/CP,4,6,0,60,40,0,25,1,1,0,0,0,0,930,1860,0.2,0,0,0,1,3.4907,0,0,1,10,,208,208 ,,
10.1002/cssc.202102114,,,,,Mo,Ru,None,T-RuMo/CP,2,8,0,80,20,0,25,1,1,0,0,0,0,930,1860,0.2,0,0,0,1,7.0907,0,0,1,10,,225,225 ,,
10.1021/acsami.1c20752,,,,,Ru,Co,None,Co-RuO2,51.43,1.80E-01,0,99.65123038,0.348769618,0,25,"1,440",1,0,0,0,0,350,5,240,0,0,0,1,0.1,0,0,1,5,,328,328 ,,
10.1021/acsami.1c20752,,,,,Ru,None,None,RuO2,1,0.00E+00,0,100,0,0,25,"1,440",1,0,0,0,0,350,5,240,0,0,0,1,0.1,0,0,1,5,,342,342 ,,
10.1021/acsami.1c20752,,,,,Co,None,None,Co3O4,1,0.00E+00,0,100,0,0,25,"1,440",0,0,0,0,0,350,5,240,0,0,0,1,0.1,0,0,1,5,,600,600 ,,
10.1021/jacs.1c04087,,,,,Ba,Ir,None,IrOx/9R-BaIrO3,1.0714,0.1659,0,86.59177241,13.40822759,0,150,480,0,0,0,0,0,700,1.7,360,0,0,0,1,0.283,0,0,0,5,1,230,230 ,,
10.1021/jacs.1c04087,,,,,Sr,Ir,None,6H-SrIrO3,1.323077377,0.1659,0,88.85812487,11.14187513,0,150,480,0,0,0,0,0,700,1.7,360,0,0,0,1,0.283,0,0,0,5,1,300,300 ,,
10.1039/D1EE02636D,,,,,Pt,Ru,Co,PtCo-RuO2/C,0.078583145,0.041060651,0.017986466,57.09728659,29.834028,13.06868541,260,120,0,0,1,0,0,400,,60,0,0,0,0.1,0.0417,0.1668,0,0,5,0,212.6,213 ,,
10.1039/D1EE02636D,,,,,Pt,Ru,None,Pt-RuO2/C,0.082273939,0.070940932,0,53.69840303,46.30159697,0,260,120,0,0,1,0,0,400,,60,0,0,0,0.1,0.0492,0.1968,0,0,5,0,274.1,274 ,,
10.1039/D1EE02636D,,,,,Ru,None,None,RuO2 NPs/C,100,0,0,100,0,0,280,120,0,0,1,0,0,400,,60,0,0,0,0.1,0.0263,0.1052,0,0,5,0,264.8,265 ,,
10.1039/D1TA07293E,,,,,Ru,Sb,None,[Ru+Sb]Oy,1,1,0,50,50,0,100,3,0,0,0,0,0,600,4,360,0,0,0,1,0.223,0,0,1,20,,454,454 ,,
10.1039/D1TA07293E,,,,,Mn,Sb,None,[Mn+Sb]Oy,1,1,0,50,50,0,100,3,0,0,0,0,0,600,4,360,0,0,0,1,0.177,0,0,1,20,,698,698 ,,
10.1039/D1TA07293E,,,,,Co,Sb,None,[Co+Sb]Oy,1,1,0,50,50,0,100,3,0,0,0,0,0,600,4,360,0,0,0,1,0.201,0,0,1,20,,808,808 ,,
10.1021/acsaem.1c03193,,,,,Ir,None,None,Ir/C,1,0,0,100,0,0,25,720,1,0,0,0,0,900,,60,0,1,0,0.1,0.178,0.222,0,0,10,1,271,271 ,,
10.1016/j.cej.2021.131707,,,,,Ru,None,None,Ru-250,100,0,0,100,0,0,90,180,1,0,0,0,0,250,,120,0,0,0,1,0.255,0,0,0,5,0,210,210 ,,
10.1016/j.cej.2021.131707,,,,,Ru,None,None,Ru-350,100,0,0,100,0,0,90,180,1,0,0,0,0,350,,120,0,0,0,1,0.255,0,0,0,5,0,262,262 ,,
10.1016/j.cej.2021.131707,,,,,Ru,None,None,Ru-500,100,0,0,100,0,0,90,180,1,0,0,0,0,500,,120,0,0,0,1,0.255,0,0,0,5,0,302,302 ,,
10.1016/j.cej.2021.131707,,,,,Ru,None,None,Ru-700,100,0,0,100,0,0,90,180,1,0,0,0,0,700,,120,0,0,0,1,0.255,0,0,0,5,0,388,388 ,,
10.1038/s41929-021-00703-0,,,,,Mn,Ru,None,4Ru-MnO2,1.15,0.0483,0,95.96928983,4.030710173,0,25,720,1,0,0,0,0,200,5,60,0,0,0,0.1,0.2,0,0,0,5,1,287,287 ,,
10.1038/s41929-021-00703-0,,,,,Mn,Ru,None,6Ru-MnO2,1.15,0.0966,0,92.25092251,7.749077491,0,25,720,1,0,0,0,0,200,5,60,0,0,0,0.1,0.2,0,0,0,5,1,234,234 ,,
10.1038/s41929-021-00703-0,,,,,Mn,Ru,None,12Ru-MnO2,1.15,0.3864,0,74.8502994,25.1497006,0,25,720,1,0,0,0,0,200,5,60,0,0,0,0.1,0.2,0,0,0,5,1,161,161 ,,
10.1038/s41929-021-00703-0,,,,,Ru,None,None,RuO2,1,0,0,100,0,0,25,60,1,0,0,0,0,500,5,300,0,0,0,0.1,0.2,0,0,0,5,1,250,250 ,,
10.1088/2053-1583/ac26db,,,,,Ru,None,None,RuO2-Ru/GDY-300,1,0,0,100,0,0,25,240,1,0,0,0,0,350,2,300,0,0,0,1,0.1415,0.1415,0,1,5,1,219,219 ,,
10.1088/2053-1583/ac26db,,,,,Ru,None,None,RuO2-Ru/GDY-350,1,0,0,100,0,0,25,240,1,0,0,0,0,350,2,300,0,0,0,1,0.1415,0.1415,0,1,5,1,163,163 ,,
10.1088/2053-1583/ac26db,,,,,Ru,None,None,RuO2-Ru/GDY-400,1,0,0,100,0,0,25,240,1,0,0,0,0,350,2,300,0,0,0,1,0.1415,0.1415,0,1,5,1,237,237 ,,
