,hebo,bo
0,-4.864797592163086,-4.864797592163086
1,-2.3985342979431152,-2.3985342979431152
2,-1.7263338565826416,-1.7263338565826416
3,2.865316867828369,2.865316867828369
4,-0.3135221004486084,-0.3135221004486084
5,3.4481453895568848,2.865316867828369
6,-1.598415493965149,-0.05419456958770752
7,2.686004638671875,-0.43562012910842896
8,7.720913887023926,0.03201615810394287
9,-1.896385669708252,5.036815643310547
10,9.980428695678711,10.94913387298584
11,34.28814697265625,7.035789966583252
12,5.250364303588867,-2.897395610809326
13,32.23540115356445,1.7998422384262085
14,8.199085235595703,3.0560293197631836
15,28.802654266357422,1.7438009977340698
16,44.418067932128906,2.947126626968384
17,6.465795993804932,12.232253074645996
18,30.659887313842773,12.20572566986084
19,3.8770363330841064,-5.395688056945801
20,13.234929084777832,12.150345802307129
21,22.752212524414062,-0.14593875408172607
22,30.87152099609375,12.233386039733887
23,12.686307907104492,3.1413955688476562
24,55.28141403198242,-3.1723570823669434
25,54.60530090332031,15.05172348022461
26,53.75732421875,15.618135452270508
27,46.328956604003906,10.81352710723877
28,84.02618408203125,3.3934333324432373
29,85.06571960449219,5.593390464782715
30,85.96612548828125,14.440805435180664
31,84.5518798828125,-0.006928682327270508
32,62.42784881591797,14.43198013305664
33,85.7166976928711,0.5699473023414612
34,85.7166976928711,9.153095245361328
35,77.47639465332031,15.594977378845215
36,81.10955047607422,4.816987037658691
37,55.4610481262207,1.6219611167907715
38,33.110626220703125,14.839653015136719
39,55.63790512084961,14.36999225616455
40,85.96612548828125,19.978635787963867
41,85.96612548828125,-1.2119001150131226
42,86.12223815917969,24.382692337036133
43,76.9095230102539,-2.814279079437256
44,39.48568344116211,26.863054275512695
45,82.99899291992188,8.047002792358398
46,85.7166976928711,13.603065490722656
47,81.94751739501953,3.0475544929504395
48,82.09608459472656,25.26058578491211
49,91.90257263183594,26.98369598388672
50,84.38369750976562,13.209966659545898
51,53.02778244018555,20.82341957092285
52,91.90257263183594,-1.3746049404144287
53,78.58924102783203,4.156320571899414
54,69.51321411132812,22.06117820739746
55,61.470420837402344,2.7926464080810547
56,83.91342163085938,3.123919725418091
57,71.28895568847656,-0.6644417643547058
58,83.01222229003906,26.21611785888672
59,88.19470977783203,19.47632598876953
60,34.75603103637695,14.192605018615723
61,93.1738052368164,6.282416820526123
62,92.68304443359375,-2.3998332023620605
63,92.5126953125,15.951167106628418
64,106.35602569580078,16.842721939086914
65,123.79618835449219,11.910604476928711
66,86.89213562011719,22.34048080444336
67,83.48976135253906,26.652875900268555
68,81.4540786743164,38.561073303222656
69,108.65605163574219,0.5798189640045166
70,86.89213562011719,76.00926208496094
71,59.034915924072266,82.46646881103516
72,108.65605163574219,95.3389663696289
73,83.48976135253906,3.735074520111084
74,98.60554504394531,88.61063385009766
75,98.93643188476562,89.59976196289062
76,71.0580062866211,83.78443908691406
77,80.6679458618164,-0.1710832417011261
78,108.65605163574219,81.201416015625
79,123.79618835449219,90.40972900390625
80,123.79618835449219,0.9232107996940613
81,187.31536865234375,72.7046890258789
82,187.31536865234375,95.0194320678711
83,133.94541931152344,88.12020111083984
84,187.31536865234375,90.9582290649414
85,108.76957702636719,84.97264099121094
86,187.31536865234375,50.71987533569336
87,187.31536865234375,48.44585418701172
88,187.31536865234375,91.04159545898438
89,187.31536865234375,24.049089431762695
90,109.84611511230469,-0.5795982480049133
91,187.31536865234375,66.77305603027344
92,122.80685424804688,14.19778060913086
93,187.31536865234375,60.13838195800781
94,109.84611511230469,83.47657012939453
95,122.80685424804688,85.3859634399414
96,187.31536865234375,16.863460540771484
97,57.763729095458984,25.32110023498535
98,209.29129028320312,25.32110023498535
99,209.29129028320312,-5.627834796905518
100,209.29129028320312,3.766399621963501
101,209.29129028320312,32.67844772338867
102,209.29129028320312,0.4910227954387665
103,0.22077396512031555,25.32110023498535
104,209.29129028320312,86.59410858154297
